time,joint_name,joint_state,joint_reference
1721901454.1077247,"LF_B2C, LF_C2F, LF_F2T, LF_T2E, LF_wristH, LF_wristV, LF_driving, LH_B2C, LH_C2F, LH_F2T, LH_T2E, LH_wristH, LH_wristV, LH_driving, RH_B2C, RH_C2F, RH_F2T, RH_T2E, RH_wristH, RH_wristV, RH_driving, RF_B2C, RF_C2F, RF_F2T, RF_T2E, RF_wristH, RF_wristV, RF_driving","-0.0022032610820357235, -0.7793029246673875, 2.326989298619674, 0.021668733770337845, -0.0012875284583850899, 0.0020710679146018762, 0.003007829202132939, 0.002026415100597312, -0.7800553397435461, 2.328282144501305, 0.021623613299331268, 0.00017891504106692935, 0.001338199835380749, 0.002659579705057702, -0.00117827617844668, -0.7777871563424084, 2.3237437908183107, 0.024662073773255244, -0.0002652632422339707, -0.0006477994084121974, 0.0011763821853678635, -0.0015116302152264893, -0.7800254706659295, 2.329728332564139, 0.021649744456477826, 0.00021574210264851956, 0.0010858381187492938, 0.0018429683083480697","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
1721901454.2076588,"LF_B2C, LF_C2F, LF_F2T, LF_T2E, LF_wristH, LF_wristV, LF_driving, LH_B2C, LH_C2F, LH_F2T, LH_T2E, LH_wristH, LH_wristV, LH_driving, RH_B2C, RH_C2F, RH_F2T, RH_T2E, RH_wristH, RH_wristV, RH_driving, RF_B2C, RF_C2F, RF_F2T, RF_T2E, RF_wristH, RF_wristV, RF_driving","-0.0022032610820357235, -0.7793029246673875, 2.326989298619674, 0.021668733770337845, -0.0012875284583850899, 0.0020710679146018762, 0.003007829202132939, 0.002026415100597312, -0.7800553397435461, 2.328282144501305, 0.021623613299331268, 0.00017891504106692935, 0.001338199835380749, 0.002659579705057702, -0.00117827617844668, -0.7777871563424084, 2.3237437908183107, 0.024662073773255244, -0.0002652632422339707, -0.0006477994084121974, 0.0011763821853678635, -0.0015116302152264893, -0.7800254706659295, 2.329728332564139, 0.021649744456477826, 0.00021574210264851956, 0.0010858381187492938, 0.0018429683083480697","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
1721901454.3087466,"LF_B2C, LF_C2F, LF_F2T, LF_T2E, LF_wristH, LF_wristV, LF_driving, LH_B2C, LH_C2F, LH_F2T, LH_T2E, LH_wristH, LH_wristV, LH_driving, RH_B2C, RH_C2F, RH_F2T, RH_T2E, RH_wristH, RH_wristV, RH_driving, RF_B2C, RF_C2F, RF_F2T, RF_T2E, RF_wristH, RF_wristV, RF_driving","-0.0022032610820357235, -0.7793029246673875, 2.326989298619674, 0.021668733770337845, -0.0012875284583850899, 0.0020710679146018762, 0.003007829202132939, 0.002026415100597312, -0.7800553397435461, 2.328282144501305, 0.021623613299331268, 0.00017891504106692935, 0.001338199835380749, 0.002659579705057702, -0.00117827617844668, -0.7777871563424084, 2.3237437908183107, 0.024662073773255244, -0.0002652632422339707, -0.0006477994084121974, 0.0011763821853678635, -0.0015116302152264893, -0.7800254706659295, 2.329728332564139, 0.021649744456477826, 0.00021574210264851956, 0.0010858381187492938, 0.0018429683083480697","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
1721901454.4087985,"LF_B2C, LF_C2F, LF_F2T, LF_T2E, LF_wristH, LF_wristV, LF_driving, LH_B2C, LH_C2F, LH_F2T, LH_T2E, LH_wristH, LH_wristV, LH_driving, RH_B2C, RH_C2F, RH_F2T, RH_T2E, RH_wristH, RH_wristV, RH_driving, RF_B2C, RF_C2F, RF_F2T, RF_T2E, RF_wristH, RF_wristV, RF_driving","-0.0022032610820357235, -0.7793029246673875, 2.326989298619674, 0.021668733770337845, -0.0012875284583850899, 0.0020710679146018762, 0.003007829202132939, 0.002026415100597312, -0.7800553397435461, 2.328282144501305, 0.021623613299331268, 0.00017891504106692935, 0.001338199835380749, 0.002659579705057702, -0.00117827617844668, -0.7777871563424084, 2.3237437908183107, 0.024662073773255244, -0.0002652632422339707, -0.0006477994084121974, 0.0011763821853678635, -0.0015116302152264893, -0.7800254706659295, 2.329728332564139, 0.021649744456477826, 0.00021574210264851956, 0.0010858381187492938, 0.0018429683083480697","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
1721901454.507677,"LF_B2C, LF_C2F, LF_F2T, LF_T2E, LF_wristH, LF_wristV, LF_driving, LH_B2C, LH_C2F, LH_F2T, LH_T2E, LH_wristH, LH_wristV, LH_driving, RH_B2C, RH_C2F, RH_F2T, RH_T2E, RH_wristH, RH_wristV, RH_driving, RF_B2C, RF_C2F, RF_F2T, RF_T2E, RF_wristH, RF_wristV, RF_driving","-0.0022032610820357235, -0.7793029246673875, 2.326989298619674, 0.021668733770337845, -0.0012875284583850899, 0.0020710679146018762, 0.003007829202132939, 0.002026415100597312, -0.7800553397435461, 2.328282144501305, 0.021623613299331268, 0.00017891504106692935, 0.001338199835380749, 0.002659579705057702, -0.00117827617844668, -0.7777871563424084, 2.3237437908183107, 0.024662073773255244, -0.0002652632422339707, -0.0006477994084121974, 0.0011763821853678635, -0.0015116302152264893, -0.7800254706659295, 2.329728332564139, 0.021649744456477826, 0.00021574210264851956, 0.0010858381187492938, 0.0018429683083480697","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
1721901454.6076057,"LF_B2C, LF_C2F, LF_F2T, LF_T2E, LF_wristH, LF_wristV, LF_driving, LH_B2C, LH_C2F, LH_F2T, LH_T2E, LH_wristH, LH_wristV, LH_driving, RH_B2C, RH_C2F, RH_F2T, RH_T2E, RH_wristH, RH_wristV, RH_driving, RF_B2C, RF_C2F, RF_F2T, RF_T2E, RF_wristH, RF_wristV, RF_driving","-0.0023318669753180643, -0.7809772883223527, 2.3284942734839067, 0.020786878935948216, -0.0014502345612017464, 0.002147049876822571, 0.003009185540184589, 0.0018553256087079362, -0.7803694993633119, 2.329159351401353, 0.020724690284335878, 0.00020216359879121626, 0.0014274379025085437, 0.002599295889750053, -0.0015170218491746823, -0.7778587739042901, 2.3231669017580963, 0.026481172394182906, -0.00036858955991281306, -0.0017033416542542312, 0.00121839687979719, -0.0015863412063357174, -0.7807418241397679, 2.330852678688796, 0.020814124049482352, 0.00021520340333047727, 0.0003616756996800419, 0.0018070572260597828","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
1721901454.7075553,"LF_B2C, LF_C2F, LF_F2T, LF_T2E, LF_wristH, LF_wristV, LF_driving, LH_B2C, LH_C2F, LH_F2T, LH_T2E, LH_wristH, LH_wristV, LH_driving, RH_B2C, RH_C2F, RH_F2T, RH_T2E, RH_wristH, RH_wristV, RH_driving, RF_B2C, RF_C2F, RF_F2T, RF_T2E, RF_wristH, RF_wristV, RF_driving","-0.0023318669753180643, -0.7809772883223527, 2.3284942734839067, 0.020786878935948216, -0.0014502345612017464, 0.002147049876822571, 0.003009185540184589, 0.0018553256087079362, -0.7803694993633119, 2.329159351401353, 0.020724690284335878, 0.00020216359879121626, 0.0014274379025085437, 0.002599295889750053, -0.0015170218491746823, -0.7778587739042901, 2.3231669017580963, 0.026481172394182906, -0.00036858955991281306, -0.0017033416542542312, 0.00121839687979719, -0.0015863412063357174, -0.7807418241397679, 2.330852678688796, 0.020814124049482352, 0.00021520340333047727, 0.0003616756996800419, 0.0018070572260597828","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
1721901454.807659,"LF_B2C, LF_C2F, LF_F2T, LF_T2E, LF_wristH, LF_wristV, LF_driving, LH_B2C, LH_C2F, LH_F2T, LH_T2E, LH_wristH, LH_wristV, LH_driving, RH_B2C, RH_C2F, RH_F2T, RH_T2E, RH_wristH, RH_wristV, RH_driving, RF_B2C, RF_C2F, RF_F2T, RF_T2E, RF_wristH, RF_wristV, RF_driving","-0.0023318669753180643, -0.7809772883223527, 2.3284942734839067, 0.020786878935948216, -0.0014502345612017464, 0.002147049876822571, 0.003009185540184589, 0.0018553256087079362, -0.7803694993633119, 2.329159351401353, 0.020724690284335878, 0.00020216359879121626, 0.0014274379025085437, 0.002599295889750053, -0.0015170218491746823, -0.7778587739042901, 2.3231669017580963, 0.026481172394182906, -0.00036858955991281306, -0.0017033416542542312, 0.00121839687979719, -0.0015863412063357174, -0.7807418241397679, 2.330852678688796, 0.020814124049482352, 0.00021520340333047727, 0.0003616756996800419, 0.0018070572260597828","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
1721901454.908748,"LF_B2C, LF_C2F, LF_F2T, LF_T2E, LF_wristH, LF_wristV, LF_driving, LH_B2C, LH_C2F, LH_F2T, LH_T2E, LH_wristH, LH_wristV, LH_driving, RH_B2C, RH_C2F, RH_F2T, RH_T2E, RH_wristH, RH_wristV, RH_driving, RF_B2C, RF_C2F, RF_F2T, RF_T2E, RF_wristH, RF_wristV, RF_driving","-0.0023318669753180643, -0.7809772883223527, 2.3284942734839067, 0.020786878935948216, -0.0014502345612017464, 0.002147049876822571, 0.003009185540184589, 0.0018553256087079362, -0.7803694993633119, 2.329159351401353, 0.020724690284335878, 0.00020216359879121626, 0.0014274379025085437, 0.002599295889750053, -0.0015170218491746823, -0.7778587739042901, 2.3231669017580963, 0.026481172394182906, -0.00036858955991281306, -0.0017033416542542312, 0.00121839687979719, -0.0015863412063357174, -0.7807418241397679, 2.330852678688796, 0.020814124049482352, 0.00021520340333047727, 0.0003616756996800419, 0.0018070572260597828","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
1721901454.98082,"LF_B2C, LF_C2F, LF_F2T, LF_T2E, LF_wristH, LF_wristV, LF_driving, LH_B2C, LH_C2F, LH_F2T, LH_T2E, LH_wristH, LH_wristV, LH_driving, RH_B2C, RH_C2F, RH_F2T, RH_T2E, RH_wristH, RH_wristV, RH_driving, RF_B2C, RF_C2F, RF_F2T, RF_T2E, RF_wristH, RF_wristV, RF_driving","-0.0026663527882284654, -0.781053420368262, 2.329463124273685, 0.019691652569346907, -0.0015260777037759965, 0.0022563136068267653, 0.002923085064876929, 0.0022205834029609406, -0.7802988097188264, 2.329439151938148, 0.019692219196846494, 0.0003962917925885989, 0.001964176733262768, 0.00270417847818738, -0.00194546773364479, -0.777571818409311, 2.3222993828914813, 0.0267412809233587, -0.0005410755970345349, -0.001479716961733324, 0.0013486682673367056, -0.002417260056537529, -0.7804302371292344, 2.3310030275200546, 0.019749777009651304, 0.0001047705610588423, 0.0007675719309734319, 0.0013996690256181665","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
