time,B2C_joint_pub,B2C_reference_position,B2C_feedback_position,B2C_position_error,B2C_reference_velocity,B2C_feedback_velocity,B2C_velocity_error,B2C_torque,C2F_joint_pub,C2F_reference_position,C2F_feedback_position,C2F_position_error,C2F_reference_velocity,C2F_feedback_velocity,C2F_velocity_error,C2F_torque,F2T_joint_pub,F2T_reference_position,F2T_feedback_position,F2T_position_error,F2T_reference_velocity,F2T_feedback_velocity,F2T_velocity_error,F2T_torque,T2E_joint_pub,T2E_reference_position,T2E_feedback_position,T2E_position_error,T2E_reference_velocity,T2E_feedback_velocity,T2E_velocity_error,T2E_torque,wristH_joint_pub,wristH_reference_position,wristH_feedback_position,wristH_position_error,wristH_reference_velocity,wristH_feedback_velocity,wristH_velocity_error,wristH_torque,wristV_joint_pub,wristV_reference_position,wristV_feedback_position,wristV_position_error,wristV_reference_velocity,wristV_feedback_velocity,wristV_velocity_error,wristV_torque,driving_joint_pub,driving_reference_position,driving_feedback_position,driving_position_error,driving_reference_velocity,driving_feedback_velocity,driving_velocity_error,driving_torque,
5.00679e-06,0,0.00301883,0.00333727,-0.000318439,0,0.330599,-0.330599,-0.0955318,0,-0.0446446,-0.0531033,0.00845863,0,-7.79918,7.79918,4.22931,0,1.64679,1.65774,-0.0109498,0,9.44736,-9.44736,-4.37993,0,-0.208933,-0.222034,0.0131006,0,-11.2281,11.2281,3.93018,0,-0.0290488,-0.0292777,0.000228965,0,-0.340538,0.340538,0.0686895,0,0.193263,0.202211,-0.00894888,0,9.09616,-9.09616,-4.47444,0,-0.0286754,-0.0286575,-1.78979e-05,0,-0.46956,0.46956,-0.000178979,
0.797885,0,0.00301883,0.00186865,0.00115018,0,0.503713,-0.503713,0.345055,0,-0.0446446,-0.143909,0.099264,0,-5.04691,5.04691,49.632,0,1.64679,1.74008,-0.0932912,0,6.58097,-6.58097,-37.3165,0,-0.208933,-0.22387,0.0149368,0,-32.6994,32.6994,4.48103,0,-0.0290488,-0.0303811,0.00133235,0,-3.16186,3.16186,0.399704,0,0.193263,0.210233,-0.0169706,0,40.4975,-40.4975,-8.48528,0,-0.0286754,-0.0137572,-0.0149182,0,-10.2416,10.2416,-0.149182,
1.34964,0,0.00301883,0.00688696,-0.00386813,0,-0.114388,0.114388,-1.16044,0,-0.0446446,-0.19884,0.154196,0,-2.04566,2.04566,77.0979,0,1.64679,1.77944,-0.132651,0,3.62164,-3.62164,-53.0604,0,-0.208933,-0.227709,0.0187757,0,-29.4548,29.4548,5.6327,0,-0.0290488,-0.0306722,0.00162345,0,-0.428353,0.428353,0.487035,0,0.193263,0.216557,-0.0232947,0,34.1644,-34.1644,-11.6474,0,-0.0286754,-0.0132443,-0.0154311,0,-1.312,1.312,-0.154311,
2.12506,0,0.00301883,0.00332031,-0.000301478,0,-0.201054,0.201054,-0.0904433,0,-0.0446446,-0.243356,0.198712,0,-2.57539,2.57539,99.3559,0,1.64679,1.81274,-0.165951,0,2.78142,-2.78142,-66.3805,0,-0.208933,-0.204995,-0.00393848,0,-0.395366,0.395366,-1.18154,0,-0.0290488,-0.0293029,0.000254128,0,0.0058106,-0.0058106,0.0762383,0,0.193263,0.19666,-0.0033971,0,-1.16566,1.16566,-1.69855,0,-0.0286754,-0.00910625,-0.0195691,0,-0.0154903,0.0154903,-0.195691,
3.05961,0,0.00301883,0.00301874,9.80288e-08,0,0.0150595,-0.0150595,2.94086e-05,0,-0.0446446,-0.25772,0.213075,0,-0.794055,0.794055,106.538,0,1.64679,1.82712,-0.180332,0,0.285392,-0.285392,-72.1329,0,-0.208933,-0.208335,-0.000598037,0,0.164177,-0.164177,-0.179411,0,-0.0290488,-0.0293621,0.0003133,0,-0.00327931,0.00327931,0.0939899,0,0.193263,0.196432,-0.00316952,0,0.438314,-0.438314,-1.58476,0,-0.0286754,-0.00912821,-0.0195472,0,-0.00578962,0.00578962,-0.195472,
4.0158,0,0.00301883,0.00286373,0.000155106,0,-0.0323583,0.0323583,0.0465318,0,-0.0446446,-0.25738,0.212736,0,0.949617,-0.949617,106.368,0,1.64679,1.82569,-0.178904,0,-0.818678,0.818678,-71.5615,0,-0.208933,-0.206655,-0.00227845,0,0.00578867,-0.00578867,-0.683535,0,-0.0290488,-0.0295187,0.000469927,0,-0.00651671,0.00651671,0.140978,0,0.193263,0.195545,-0.00228262,0,-0.477527,0.477527,-1.14131,0,-0.0286754,-0.00901885,-0.0196565,0,-0.00102433,0.00102433,-0.196565,
4.93597,0,0.00301883,0.00281617,0.000202661,0,0.172208,-0.172208,0.0607983,0,-0.0446446,-0.238542,0.193897,0,2.58501,-2.58501,96.9485,0,1.64679,1.80882,-0.16203,0,-2.31791,2.31791,-64.8121,0,-0.208933,-0.206949,-0.00198472,0,0.0624062,-0.0624062,-0.595415,0,-0.0290488,-0.0295101,0.000461309,0,0.0103536,-0.0103536,0.138393,0,0.193263,0.19644,-0.0031775,0,0.144662,-0.144662,-1.58875,0,-0.0286754,-0.00906244,-0.0196129,0,-0.0148339,0.0148339,-0.196129,
5.9387,0,0.00301883,0.0054213,-0.00240246,0,0.208713,-0.208713,-0.720739,0,-0.0446446,-0.203582,0.158937,0,4.08951,-4.08951,79.4686,0,1.64679,1.77861,-0.131826,0,-3.54614,3.54614,-52.7304,0,-0.208933,-0.207068,-0.00186549,0,-0.00697705,0.00697705,-0.559647,0,-0.0290488,-0.029498,0.000449228,0,-0.0059181,0.0059181,0.134768,0,0.193263,0.195449,-0.0021868,0,-0.152919,0.152919,-1.0934,0,-0.0286754,-0.00927293,-0.0194025,0,-0.00336683,0.00336683,-0.194025,
6.8003,0,0.00301883,0.00497645,-0.00195761,0,-0.0219354,0.0219354,-0.587284,0,-0.0446446,-0.157727,0.113082,0,4.23875,-4.23875,56.541,0,1.64679,1.73717,-0.0903862,0,-4.13289,4.13289,-36.1545,0,-0.208933,-0.206828,-0.00210523,0,0.076526,-0.076526,-0.63157,0,-0.0290488,-0.0296221,0.000573351,0,-0.000959107,0.000959107,0.172005,0,0.193263,0.195581,-0.00231884,0,0.0161412,-0.0161412,-1.15942,0,-0.0286754,-0.00915325,-0.0195221,0,0.0185704,-0.0185704,-0.195221,
7.64695,0,0.00301883,0.00403369,-0.00101486,0,-0.150537,0.150537,-0.304457,0,-0.0446446,-0.104184,0.0595397,0,5.07757,-5.07757,29.7698,0,1.64679,1.68875,-0.0419593,0,-4.89646,4.89646,-16.7837,0,-0.208933,-0.208714,-0.000219062,0,-0.0493507,0.0493507,-0.0657186,0,-0.0290488,-0.0296813,0.000632552,0,0.0132499,-0.0132499,0.189766,0,0.193263,0.193814,-0.000551244,0,-0.188569,0.188569,-0.275622,0,-0.0286754,-0.00891764,-0.0197578,0,-0.00868774,0.00868774,-0.197578,
