time,B2C_joint_pub,B2C_reference_position,B2C_feedback_position,B2C_position_error,B2C_reference_velocity,B2C_feedback_velocity,B2C_velocity_error,B2C_torque,C2F_joint_pub,C2F_reference_position,C2F_feedback_position,C2F_position_error,C2F_reference_velocity,C2F_feedback_velocity,C2F_velocity_error,C2F_torque,F2T_joint_pub,F2T_reference_position,F2T_feedback_position,F2T_position_error,F2T_reference_velocity,F2T_feedback_velocity,F2T_velocity_error,F2T_torque,T2E_joint_pub,T2E_reference_position,T2E_feedback_position,T2E_position_error,T2E_reference_velocity,T2E_feedback_velocity,T2E_velocity_error,T2E_torque,wristH_joint_pub,wristH_reference_position,wristH_feedback_position,wristH_position_error,wristH_reference_velocity,wristH_feedback_velocity,wristH_velocity_error,wristH_torque,wristV_joint_pub,wristV_reference_position,wristV_feedback_position,wristV_position_error,wristV_reference_velocity,wristV_feedback_velocity,wristV_velocity_error,wristV_torque,driving_joint_pub,driving_reference_position,driving_feedback_position,driving_position_error,driving_reference_velocity,driving_feedback_velocity,driving_velocity_error,driving_torque,
0.000296354,0,0.00369411,0.0038262,-0.000132086,0,0.159309,-0.159309,-0.0396259,0,-0.0440674,-0.0525219,0.00845445,0,-7.81316,7.81316,4.22722,0,1.64658,1.6575,-0.0109197,0,9.46813,-9.46813,-4.36787,0,-0.208416,-0.22142,0.013005,0,-11.2281,11.2281,3.90149,0,-0.0295729,-0.0295766,3.69165e-06,0,-0.0333953,0.0333953,0.00110749,0,0.19278,0.201662,-0.00888189,0,9.07841,-9.07841,-4.44094,0,-0.0295576,-0.0294446,-0.00011299,0,-0.377919,0.377919,-0.0011299,
0.798021,0,0.00369411,0.000994701,0.00269941,0,0.410575,-0.410575,0.809822,0,-0.0440674,-0.143487,0.0994194,0,-4.81695,4.81695,49.7097,0,1.64658,1.73989,-0.093308,0,6.42417,-6.42417,-37.3232,0,-0.208416,-0.224008,0.0155926,0,-33.1579,33.1579,4.67777,0,-0.0295729,-0.0306991,0.0011262,0,-2.59155,2.59155,0.337861,0,0.19278,0.208396,-0.0156158,0,40.0295,-40.0295,-7.80792,0,-0.0295576,-0.0131411,-0.0164165,0,-8.18178,8.18178,-0.164165,
1.34975,0,0.00369411,0.00680163,-0.00310752,0,-0.295588,0.295588,-0.932257,0,-0.0440674,-0.202613,0.158546,0,-5.21785,5.21785,79.2729,0,1.64658,1.77984,-0.133261,0,3.43385,-3.43385,-53.3043,0,-0.208416,-0.209562,0.00114656,0,-4.36778,4.36778,0.343967,0,-0.0295729,-0.0304278,0.000854933,0,-0.632912,0.632912,0.25648,0,0.19278,0.200607,-0.00782682,0,8.74633,-8.74633,-3.91341,0,-0.0295576,-0.0129144,-0.0166432,0,-2.71645,2.71645,-0.166432,
2.12517,0,0.00369411,0.00462329,-0.000929178,0,0.0339597,-0.0339597,-0.278753,0,-0.0440674,-0.245389,0.201322,0,-3.19982,3.19982,100.661,0,1.64658,1.80929,-0.162711,0,1.37959,-1.37959,-65.0843,0,-0.208416,-0.190787,-0.0176282,0,15.843,-15.843,-5.28847,0,-0.0295729,-0.0292892,-0.000283705,0,0.0129968,-0.0129968,-0.0851114,0,0.19278,0.183942,0.00883752,0,-21.0992,21.0992,4.41876,0,-0.0295576,-0.0165891,-0.0129685,0,-0.000916636,0.000916636,-0.129685,
3.05975,0,0.00369411,0.00395081,-0.0002567,0,0.0135108,-0.0135108,-0.0770101,0,-0.0440674,-0.261576,0.217509,0,-1.96468,1.96468,108.754,0,1.64658,1.8227,-0.176121,0,0.385469,-0.385469,-70.4486,0,-0.208416,-0.198777,-0.00963829,0,11.8391,-11.8391,-2.89149,0,-0.0295729,-0.0290302,-0.000542735,0,-0.0695771,0.0695771,-0.16282,0,0.19278,0.191756,0.00102402,0,-12.3709,12.3709,0.512009,0,-0.0295576,-0.010349,-0.0192086,0,-0.162962,0.162962,-0.192086,
4.01598,0,0.00369411,0.00457107,-0.00087696,0,0.0401984,-0.0401984,-0.263088,0,-0.0440674,-0.254614,0.210546,0,-0.408172,0.408172,105.273,0,1.64658,1.81747,-0.170892,0,-3.00728,3.00728,-68.3566,0,-0.208416,-0.194043,-0.014373,0,33.0059,-33.0059,-4.3119,0,-0.0295729,-0.0286136,-0.000959326,0,1.33409,-1.33409,-0.287798,0,0.19278,0.182167,0.0106127,0,-38.1483,38.1483,5.30636,0,-0.0295576,-0.0131749,-0.0163827,0,2.84454,-2.84454,-0.163827,
4.93606,0,0.00369411,0.00461887,-0.000924762,0,0.0618359,-0.0618359,-0.277428,0,-0.0440674,-0.239587,0.195519,0,0.827093,-0.827093,97.7596,0,1.64658,1.79849,-0.151908,0,-2.45725,2.45725,-60.7633,0,-0.208416,-0.191642,-0.0167735,0,12.2724,-12.2724,-5.03204,0,-0.0295729,-0.0301808,0.000607878,0,0.0149683,-0.0149683,0.182363,0,0.19278,0.191374,0.00140604,0,-15.0581,15.0581,0.703019,0,-0.0295576,-0.0197073,-0.0098503,0,0.000594214,-0.000594214,-0.098503,
5.9388,0,0.00369411,0.00479263,-0.00109852,0,0.087269,-0.087269,-0.329557,0,-0.0440674,-0.211573,0.167505,0,0.720789,-0.720789,83.7526,0,1.64658,1.77252,-0.125938,0,-4.74572,4.74572,-50.3754,0,-0.208416,-0.192119,-0.0162961,0,34.2987,-34.2987,-4.88883,0,-0.0295729,-0.0285503,-0.00102261,0,2.02415,-2.02415,-0.306782,0,0.19278,0.178727,0.0140532,0,-40.4499,40.4499,7.02659,0,-0.0295576,-0.018925,-0.0106326,0,3.85088,-3.85088,-0.106326,
6.80043,0,0.00369411,0.00389582,-0.000201715,0,-0.122753,0.122753,-0.0605144,0,-0.0440674,-0.169312,0.125245,0,3.22689,-3.22689,62.6224,0,1.64658,1.73068,-0.084103,0,-4.89422,4.89422,-33.6412,0,-0.208416,-0.18653,-0.0218857,0,18.6185,-18.6185,-6.5657,0,-0.0295729,-0.0296872,0.000114261,0,-0.0296392,0.0296392,0.0342783,0,0.19278,0.184148,0.00863173,0,-22.4715,22.4715,4.31586,0,-0.0295576,-0.0187258,-0.0108318,0,0.228076,-0.228076,-0.108318,
7.64707,0,0.00369411,0.003889,-0.000194888,0,0.215545,-0.215545,-0.0584664,0,-0.0440674,-0.112117,0.0680493,0,2.74414,-2.74414,34.0247,0,1.64658,1.68403,-0.037447,0,-5.60299,5.60299,-14.9788,0,-0.208416,-0.193855,-0.0145608,0,33.4262,-33.4262,-4.36823,0,-0.0295729,-0.0285684,-0.0010045,0,1.72828,-1.72828,-0.301349,0,0.19278,0.180102,0.0126776,0,-40.1119,40.1119,6.33878,0,-0.0295576,-0.0121368,-0.0174208,0,2.93179,-2.93179,-0.174208,
