time,B2C_joint_pub,B2C_reference_position,B2C_feedback_position,B2C_position_error,B2C_reference_velocity,B2C_feedback_velocity,B2C_velocity_error,B2C_torque,C2F_joint_pub,C2F_reference_position,C2F_feedback_position,C2F_position_error,C2F_reference_velocity,C2F_feedback_velocity,C2F_velocity_error,C2F_torque,F2T_joint_pub,F2T_reference_position,F2T_feedback_position,F2T_position_error,F2T_reference_velocity,F2T_feedback_velocity,F2T_velocity_error,F2T_torque,T2E_joint_pub,T2E_reference_position,T2E_feedback_position,T2E_position_error,T2E_reference_velocity,T2E_feedback_velocity,T2E_velocity_error,T2E_torque,wristH_joint_pub,wristH_reference_position,wristH_feedback_position,wristH_position_error,wristH_reference_velocity,wristH_feedback_velocity,wristH_velocity_error,wristH_torque,wristV_joint_pub,wristV_reference_position,wristV_feedback_position,wristV_position_error,wristV_reference_velocity,wristV_feedback_velocity,wristV_velocity_error,wristV_torque,driving_joint_pub,driving_reference_position,driving_feedback_position,driving_position_error,driving_reference_velocity,driving_feedback_velocity,driving_velocity_error,driving_torque,
0.000522852,0,0.00354545,0.00356882,-2.3365e-05,0,0.0388498,-0.0388498,-0.00700949,0,-0.0443069,-0.0528112,0.00850438,0,-7.87506,7.87506,4.25219,0,1.64672,1.65756,-0.0108371,0,9.39427,-9.39427,-4.33485,0,-0.210474,-0.223525,0.0130509,0,-11.3671,11.3671,3.91528,0,-0.0278217,-0.0278275,5.77492e-06,0,-0.0269255,0.0269255,0.00173248,0,0.195523,0.204775,-0.0092517,0,9.59846,-9.59846,-4.62585,0,-0.0279301,-0.0277252,-0.000204959,0,-0.235853,0.235853,-0.00204959,
0.798221,0,0.00354545,0.00093498,0.00261047,0,0.671437,-0.671437,0.783142,0,-0.0443069,-0.140925,0.0966184,0,-4.26283,4.26283,48.3092,0,1.64672,1.73798,-0.0912573,0,5.94678,-5.94678,-36.5029,0,-0.210474,-0.227091,0.0166169,0,-33.7618,33.7618,4.98506,0,-0.0278217,-0.028045,0.000223327,0,-0.135974,0.135974,0.0669982,0,0.195523,0.211129,-0.0156055,0,41.281,-41.281,-7.80277,0,-0.0279301,-0.0146026,-0.0133275,0,-6.41341,6.41341,-0.133275,
1.3499,0,0.00354545,0.00694797,-0.00340252,0,0.0515694,-0.0515694,-1.02076,0,-0.0443069,-0.197447,0.15314,0,-2.26,2.26,76.5698,0,1.64672,1.77726,-0.130542,0,3.26761,-3.26761,-52.2167,0,-0.210474,-0.227312,0.0168384,0,-26.1909,26.1909,5.05151,0,-0.0278217,-0.0288725,0.00105077,0,0.635957,-0.635957,0.315232,0,0.195523,0.21795,-0.0224261,0,31.9017,-31.9017,-11.2131,0,-0.0279301,-0.0195371,-0.00839302,0,0.00600216,-0.00600216,-0.0839302,
2.12534,0,0.00354545,0.00319169,0.000353763,0,-0.265761,0.265761,0.106129,0,-0.0443069,-0.239448,0.195141,0,-2.42462,2.42462,97.5705,0,1.64672,1.80946,-0.16274,0,2.89695,-2.89695,-65.096,0,-0.210474,-0.207287,-0.00318628,0,-0.97833,0.97833,-0.955884,0,-0.0278217,-0.0276054,-0.000216288,0,-0.00994672,0.00994672,-0.0648865,0,0.195523,0.199221,-0.00369762,0,-0.911308,0.911308,-1.84881,0,-0.0279301,-0.0226036,-0.00532655,0,0.0127351,-0.0127351,-0.0532655,
3.05992,0,0.00354545,0.00365362,-0.000108166,0,0.0685563,-0.0685563,-0.0324498,0,-0.0443069,-0.252121,0.207815,0,-0.924444,0.924444,103.907,0,1.64672,1.82318,-0.176461,0,-0.102536,0.102536,-70.5843,0,-0.210474,-0.210115,-0.00035835,0,1.16516,-1.16516,-0.107505,0,-0.0278217,-0.0277309,-9.08365e-05,0,-0.021863,0.021863,-0.027251,0,0.195523,0.198164,-0.00264038,0,0.386191,-0.386191,-1.32019,0,-0.0279301,-0.0227456,-0.00518457,0,-0.00455776,0.00455776,-0.0518457,
4.01617,0,0.00354545,0.00417227,-0.000626817,0,0.173725,-0.173725,-0.188045,0,-0.0443069,-0.252506,0.208199,0,1.49524,-1.49524,104.099,0,1.64672,1.82135,-0.174628,0,-1.17991,1.17991,-69.8511,0,-0.210474,-0.207889,-0.00258496,0,-0.0428114,0.0428114,-0.775488,0,-0.0278217,-0.0278561,3.43612e-05,0,-0.00379986,0.00379986,0.0103084,0,0.195523,0.198127,-0.00260317,0,-0.734739,0.734739,-1.30158,0,-0.0279301,-0.0226917,-0.00523841,0,-6.54824e-05,6.54824e-05,-0.0523841,
4.93618,0,0.00354545,0.0046456,-0.00110015,0,0.0506148,-0.0506148,-0.330045,0,-0.0443069,-0.232164,0.187857,0,3.24939,-3.24939,93.9286,0,1.64672,1.80464,-0.157918,0,-2.58909,2.58909,-63.1673,0,-0.210474,-0.209077,-0.00139639,0,0.0753496,-0.0753496,-0.418917,0,-0.0278217,-0.0279012,7.94855e-05,0,-0.0014614,0.0014614,0.0238456,0,0.195523,0.198346,-0.00282284,0,0.158441,-0.158441,-1.41142,0,-0.0279301,-0.022722,-0.00520811,0,-0.00356554,0.00356554,-0.0520811,
5.93892,0,0.00354545,0.00489774,-0.00135229,0,-0.0298734,0.0298734,-0.405686,0,-0.0443069,-0.192021,0.147714,0,5.31854,-5.31854,73.8572,0,1.64672,1.77163,-0.124913,0,-4.03239,4.03239,-49.9653,0,-0.210474,-0.208315,-0.00215843,0,-0.743581,0.743581,-0.647529,0,-0.0278217,-0.0279277,0.000106016,0,0.000811528,-0.000811528,0.0318047,0,0.195523,0.197687,-0.00216376,0,0.405294,-0.405294,-1.08188,0,-0.0279301,-0.0227099,-0.00522026,0,-0.00356757,0.00356757,-0.0522026,
6.8006,0,0.00354545,0.00488918,-0.00134372,0,0.0542819,-0.0542819,-0.403117,0,-0.0443069,-0.146834,0.102528,0,5.51142,-5.51142,51.2638,0,1.64672,1.72949,-0.0827727,0,-4.92707,4.92707,-33.1091,0,-0.210474,-0.207383,-0.00309053,0,-0.289125,0.289125,-0.92716,0,-0.0278217,-0.0279584,0.000136639,0,-0.0211225,0.0211225,0.0409918,0,0.195523,0.198644,-0.00312072,0,0.320661,-0.320661,-1.56036,0,-0.0279301,-0.0226038,-0.00532634,0,0.0523811,-0.0523811,-0.0532634,
7.64722,0,0.00354545,0.00483569,-0.00129024,0,-0.0303111,0.0303111,-0.387072,0,-0.0443069,-0.0968049,0.052498,0,5.7885,-5.7885,26.249,0,1.64672,1.68211,-0.0353919,0,-5.09049,5.09049,-14.1568,0,-0.210474,-0.211116,0.000642837,0,-0.852165,0.852165,0.192851,0,-0.0278217,-0.0280288,0.000207108,0,0.0120982,-0.0120982,0.0621323,0,0.195523,0.19702,-0.00149708,0,0.279408,-0.279408,-0.748542,0,-0.0279301,-0.0214615,-0.0064686,0,0.00832596,-0.00832596,-0.064686,
8.73571,0,0.00354545,0.0053549,-0.00180945,0,0.131715,-0.131715,-0.542835,0,-0.0443069,-0.0422687,-0.00203818,0,3.68191,-3.68191,-1.01909,0,1.64672,1.62683,0.0198928,0,-4.22413,4.22413,7.95713,0,-0.210474,-0.211186,0.000712627,0,-0.29499,0.29499,0.213788,0,-0.0278217,-0.027979,0.000157241,0,-0.0112482,0.0112482,0.0471723,0,0.195523,0.195503,2.06205e-05,0,-0.120863,0.120863,0.0103102,0,-0.0279301,-0.0214949,-0.00643524,0,0.0054358,-0.0054358,-0.0643524,
