time,B2C_joint_pub,B2C_reference_position,B2C_feedback_position,B2C_position_error,B2C_reference_velocity,B2C_feedback_velocity,B2C_velocity_error,B2C_torque,C2F_joint_pub,C2F_reference_position,C2F_feedback_position,C2F_position_error,C2F_reference_velocity,C2F_feedback_velocity,C2F_velocity_error,C2F_torque,F2T_joint_pub,F2T_reference_position,F2T_feedback_position,F2T_position_error,F2T_reference_velocity,F2T_feedback_velocity,F2T_velocity_error,F2T_torque,T2E_joint_pub,T2E_reference_position,T2E_feedback_position,T2E_position_error,T2E_reference_velocity,T2E_feedback_velocity,T2E_velocity_error,T2E_torque,wristH_joint_pub,wristH_reference_position,wristH_feedback_position,wristH_position_error,wristH_reference_velocity,wristH_feedback_velocity,wristH_velocity_error,wristH_torque,wristV_joint_pub,wristV_reference_position,wristV_feedback_position,wristV_position_error,wristV_reference_velocity,wristV_feedback_velocity,wristV_velocity_error,wristV_torque,driving_joint_pub,driving_reference_position,driving_feedback_position,driving_position_error,driving_reference_velocity,driving_feedback_velocity,driving_velocity_error,driving_torque,
0.000414133,0,0.00247675,0.00241492,6.18317e-05,0,-0.0737317,0.0737317,0.0185495,0,-0.0435049,-0.0523316,0.00882666,0,-8.19585,8.19585,4.41333,0,1.64485,1.65619,-0.0113389,0,9.87519,-9.87519,-4.53554,0,-0.209057,-0.222655,0.013598,0,-11.757,11.757,4.07941,0,-0.0284297,-0.0284829,5.31376e-05,0,-0.0838458,0.0838458,0.0159413,0,0.194228,0.203995,-0.00976697,0,9.96094,-9.96094,-4.88348,0,-0.0287799,-0.028576,-0.000203848,0,-0.14567,0.14567,-0.00203848,
0.798108,0,0.00247675,0.00229112,0.000185634,0,0.861396,-0.861396,0.0556903,0,-0.0435049,-0.142106,0.0986007,0,-4.40354,4.40354,49.3004,0,1.64485,1.73895,-0.0941009,0,6.23364,-6.23364,-37.6404,0,-0.209057,-0.224753,0.0156952,0,-33.6778,33.6778,4.70856,0,-0.0284297,-0.0297211,0.00129136,0,-1.68531,1.68531,0.387407,0,0.194228,0.209649,-0.015421,0,41.5563,-41.5563,-7.71049,0,-0.0287799,-0.0196095,-0.00917032,0,-6.41275,6.41275,-0.0917032,
1.34982,0,0.00247675,0.00651353,-0.00403678,0,0.0616264,-0.0616264,-1.21103,0,-0.0435049,-0.197522,0.154017,0,-2.67303,2.67303,77.0083,0,1.64485,1.77902,-0.134172,0,3.76595,-3.76595,-53.6687,0,-0.209057,-0.227994,0.0189363,0,-26.8117,26.8117,5.68089,0,-0.0284297,-0.0297077,0.00127797,0,-0.0402191,0.0402191,0.383391,0,0.194228,0.215946,-0.021718,0,31.8383,-31.8383,-10.859,0,-0.0287799,-0.0127814,-0.0159985,0,-1.81465,1.81465,-0.159985,
2.12527,0,0.00247675,0.00252026,-4.35104e-05,0,-0.345332,0.345332,-0.0130531,0,-0.0435049,-0.241604,0.198099,0,-2.56332,2.56332,99.0497,0,1.64485,1.8105,-0.165649,0,2.64118,-2.64118,-66.2597,0,-0.209057,-0.204441,-0.00461639,0,-0.114285,0.114285,-1.38492,0,-0.0284297,-0.0290946,0.000664836,0,0.00290247,-0.00290247,0.199451,0,0.194228,0.19759,-0.00336282,0,-1.37104,1.37104,-1.68141,0,-0.0287799,-0.00851877,-0.0202611,0,-0.0023669,0.0023669,-0.202611,
3.05983,0,0.00247675,0.00218564,0.000291118,0,-0.02451,0.02451,0.0873355,0,-0.0435049,-0.256778,0.213273,0,-0.563632,0.563632,106.636,0,1.64485,1.82593,-0.181076,0,0.306718,-0.306718,-72.4303,0,-0.209057,-0.208315,-0.000742019,0,0.137222,-0.137222,-0.222606,0,-0.0284297,-0.0292329,0.000803122,0,-0.0425618,0.0425618,0.240937,0,0.194228,0.195792,-0.00156432,0,0.0409139,-0.0409139,-0.78216,0,-0.0287799,-0.00833414,-0.0204457,0,0.0334653,-0.0334653,-0.204457,
4.01608,0,0.00247675,0.00211447,0.000362283,0,-0.0111797,0.0111797,0.108685,0,-0.0435049,-0.253268,0.209763,0,1.41333,-1.41333,104.881,0,1.64485,1.82293,-0.178073,0,-1.24836,1.24836,-71.2293,0,-0.209057,-0.206809,-0.00224859,0,0.115267,-0.115267,-0.674577,0,-0.0284297,-0.0296653,0.00123558,0,-0.0386578,0.0386578,0.370674,0,0.194228,0.196641,-0.00241353,0,0.0145233,-0.0145233,-1.20677,0,-0.0287799,-0.00821895,-0.0205609,0,-0.00363372,0.00363372,-0.205609,
4.93613,0,0.00247675,0.00214046,0.00033629,0,-0.00385278,0.00385278,0.100887,0,-0.0435049,-0.234128,0.190623,0,2.43054,-2.43054,95.3116,0,1.64485,1.80663,-0.161774,0,-2.12687,2.12687,-64.7098,0,-0.209057,-0.206475,-0.00258197,0,0.0423343,-0.0423343,-0.774592,0,-0.0284297,-0.0300103,0.00158057,0,-0.0276564,0.0276564,0.474172,0,0.194228,0.195915,-0.00168782,0,-0.0419484,0.0419484,-0.843908,0,-0.0287799,-0.00822196,-0.0205579,0,0.0211877,-0.0211877,-0.205579,
5.93887,0,0.00247675,0.00169934,0.000777411,0,-0.156413,0.156413,0.233223,0,-0.0435049,-0.202693,0.159188,0,3.69464,-3.69464,79.594,0,1.64485,1.77849,-0.133637,0,-3.33725,3.33725,-53.4546,0,-0.209057,-0.206231,-0.00282634,0,0.0609052,-0.0609052,-0.847903,0,-0.0284297,-0.0297588,0.00132903,0,0.00788418,-0.00788418,0.39871,0,0.194228,0.195593,-0.0013651,0,-0.0563328,0.0563328,-0.682552,0,-0.0287799,-0.00773511,-0.0210448,0,0.0900425,-0.0900425,-0.210448,
6.80053,0,0.00247675,0.00101448,0.00146228,0,-0.0465964,0.0465964,0.438683,0,-0.0435049,-0.157852,0.114347,0,5.56422,-5.56422,57.1735,0,1.64485,1.73909,-0.0942329,0,-4.66989,4.66989,-37.6932,0,-0.209057,-0.207964,-0.00109352,0,0.0245852,-0.0245852,-0.328055,0,-0.0284297,-0.0297018,0.00127208,0,0.00903542,-0.00903542,0.381625,0,0.194228,0.195932,-0.00170465,0,-0.159118,0.159118,-0.852327,0,-0.0287799,-0.00768892,-0.021091,0,0.0418425,-0.0418425,-0.21091,
7.64714,0,0.00247675,0.00140034,0.00107642,0,0.193981,-0.193981,0.322925,0,-0.0435049,-0.105697,0.0621918,0,5.65215,-5.65215,31.0959,0,1.64485,1.69192,-0.0470621,0,-5.09054,5.09054,-18.8248,0,-0.209057,-0.209005,-5.23288e-05,0,-0.00851568,0.00851568,-0.0156986,0,-0.0284297,-0.0299879,0.00155816,0,-0.021204,0.021204,0.467449,0,0.194228,0.19434,-0.000111923,0,-0.067364,0.067364,-0.0559615,0,-0.0287799,-0.00749748,-0.0212824,0,0.0364037,-0.0364037,-0.212824,
